,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
5975,237566:1,Breakfast available until 10.30 which was also nice.,0.0,breakfast available until which was also nice,45,breakfast available until which was also nice,breakfast available also nice,4
5976,237566:1,"Good location, near to trams and nice restaurant area.",0.0,good location near to trams and nice restaurant area,52,good location near to trams and nice restaurant area,good location near trams nice restaurant area,7
5977,237566:1,Lovely park nearby too.,0.0,lovely park nearby too,22,lovely park nearby too,lovely park nearby,3
5978,237566:1,Shuttle from airport worked well.,0.0,shuttle from airport worked well,32,shuttle from airport worked well,shuttle airport worked well,4
5979,237566:1,"However on the minus side lighting in room at night was dim and bedside lights were a strain to read by, which we like to do.",0.0,however on the minus side lighting in room at night was dim and bedside lights were strain to read by which we like to do,121,however on the minus side lighting in room at night was dim and bedside lights were strain to read by which we like to do,however minus side lighting room night dim bedside lights strain read like,12
5980,237566:1,The bedroom walls are also paper thin and so you are disturbed by other room sounds.,0.0,the bedroom walls are also paper thin and so you are disturbed by other room sounds,83,the bedroom walls are also paper thin and so you are disturbed by other room sounds,bedroom walls also paper thin disturbed room sounds,8
5981,237566:1,Anyone running a bath/shower or using a hair dryer could be doing so in your own room.,0.0,anyone running bath/shower or using hair dryer could be doing so in your own room,81,anyone running bathshower or using hair dryer could be doing so in your own room,anyone running bathshower using hair dryer could room,8
5982,237566:1,Also all doors seem to have to slam to close.,0.0,also all doors seem to have to slam to close,44,also all doors seem to have to slam to close,also doors seem slam close,5
5983,237566:1,"So unless you are a really early riser or a really heavy sleeper, the noise factor will be quite a problem.",0.0,so unless you are really early riser or really heavy sleeper the noise factor will be quite problem,99,so unless you are really early riser or really heavy sleeper the noise factor will be quite problem,unless really early riser really heavy sleeper noise factor quite problem,11
5984,236350:32,The loctaion was as good as it gets and overall couldnt be faulted.,0.0,the loctaion was as good as it gets and overall couldnt be faulted,66,the loctaion was as good as it gets and overall couldnt be faulted,loctaion good gets overall couldnt faulted,6
5985,236350:32,"All staff were so helpful, deluxe rooms incredibly spacious with the beds being the closest thing to heaven.",0.0,all staff were so helpful deluxe rooms incredibly spacious with the beds being the closest thing to heaven,106,all staff were so helpful deluxe rooms incredibly spacious with the beds being the closest thing to heaven,staff helpful deluxe rooms incredibly spacious beds closest thing heaven,10
5986,236350:32,I read all the review and i thanks to them i decided to stay here.,0.0,read all the review and thanks to them decided to stay here,59,read all the review and thanks to them decided to stay here,read review thanks decided stay,5
5987,236350:32,Trust me you wont be disappointed.,0.0,trust me you wont be disappointed,33,trust me you wont be disappointed,trust wont disappointed,3
5988,236350:32,I am travelling back to London next year and wont stay anywhere else.,0.0,am travelling back to london next year and wont stay anywhere else,66,am travelling back to london next year and wont stay anywhere else,travelling back london next year wont stay anywhere else,9
5989,81038:153,"Great location, views",0.0,great location views,20,great location views,great location views,3
5990,81038:153,"It has recently been remodeled and looks beautiful, very modern and super clean.",0.0,it has recently been remodeled and looks beautiful very modern and super clean,78,it has recently been remodeled and looks beautiful very modern and super clean,recently remodeled looks beautiful modern super clean,7
5991,81038:153,This hotel is actually closer to Chinatown than it is to the Financial District.,0.0,this hotel is actually closer to chinatown than it is to the financial district,79,this hotel is actually closer to chinatown than it is to the financial district,hotel actually closer chinatown financial district,6
5992,81038:153,"It is a great location - close to North Beach, Union Square and Chinatown.",0.0,it is great location close to north beach union square and chinatown,68,it is great location close to north beach union square and chinatown,great location close north beach union square chinatown,8
5993,81038:153,We stayed on the seventeeth floor.,0.0,we stayed on the seventeeth floor,33,we stayed on the seventeeth floor,stayed seventeeth floor,3
5994,81038:153,"Our room ,1717, had a great view of the bay, Coit tower and the St. Peter Paul Church Spires.",0.0,our room had great view of the bay coit tower and the st peter paul church spires,81,our room had great view of the bay coit tower and the st peter paul church spires,room great view bay coit tower st peter paul church spires,11
5995,81038:153,It was a little pricier but so worth it if you are into views.,0.0,it was little pricier but so worth it if you are into views,59,it was little pricier but so worth it if you are into views,little pricier worth views,4
5996,234574:20,I wish I had read reviews on this site prior to booking.,0.0,wish had read reviews on this site prior to booking,51,wish had read reviews on this site prior to booking,wish read reviews site prior booking,6
5997,234574:20,The hotel is advertised as being newly refurbished with luxurious rooms.,0.0,the hotel is advertised as being newly refurbished with luxurious rooms,71,the hotel is advertised as being newly refurbished with luxurious rooms,hotel advertised newly refurbished luxurious rooms,6
5998,234574:20,"The first room we were taken to had only a shower, and barely enough room to set down our bags.",0.0,the first room we were taken to had only shower and barely enough room to set down our bags,91,the first room we were taken to had only shower and barely enough room to set down our bags,first room taken shower barely enough room set bags,9
5999,234574:20,It was not newly refurbished by any means.,0.0,it was not newly refurbished by any means,41,it was not newly refurbished by any means,newly refurbished means,3
6000,234574:20,"The second room we were shown was again, extremely small, and very hot.",0.0,the second room we were shown was again extremely small and very hot,68,the second room we were shown was again extremely small and very hot,second room shown extremely small hot,6
6001,234574:20,"I asked why the air conditioning was not on, and was told they turn it off during this time of the year.",0.0,asked why the air conditioning was not on and was told they turn it off during this time of the year,100,asked why the air conditioning was not on and was told they turn it off during this time of the year,asked air conditioning told turn time year,7
6002,234574:20,The small window on the slanted ceiling opened minimally and was of no help.,0.0,the small window on the slanted ceiling opened minimally and was of no help,75,the small window on the slanted ceiling opened minimally and was of no help,small window slanted ceiling opened minimally help,7
6003,234574:20,"We asked again to be moved to one of their luxurious suites ,as advertised on their website, and were told they had no such thing as a suite in that hotel.",0.0,we asked again to be moved to one of their luxurious suites as advertised on their website and were told they had no such thing as suite in that hotel,150,we asked again to be moved to one of their luxurious suites as advertised on their website and were told they had no such thing as suite in that hotel,asked moved one luxurious suites advertised website told thing suite hotel,11
6004,234574:20,The only good thing I would say about this hotel is that the manager had enough sense to call Expedia to assist with getting our reservations changed.,0.0,the only good thing would say about this hotel is that the manager had enough sense to call expedia to assist with getting our reservations changed,147,the only good thing would say about this hotel is that the manager had enough sense to call expedia to assist with getting our reservations changed,good thing would say hotel manager enough sense call expedia assist getting reservations changed,14
6005,72586:43,We loved our stay,0.0,we loved our stay,17,we loved our stay,loved stay,2
6006,72586:43,I was expecting the worst and received the best.,0.0,was expecting the worst and received the best,45,was expecting the worst and received the best,expecting worst received best,4
6007,72586:43,This Hotel is located just two blocks from the Pacific Science Center and the Space Needle.,0.0,this hotel is located just two blocks from the pacific science center and the space needle,90,this hotel is located just two blocks from the pacific science center and the space needle,hotel located two blocks pacific science center space needle,9
6008,72586:43,"If you are looking to do downtown Seattle as a tourist you cannot do much better, in my opinion, than the Best Western Executive Inn.",1.0,if you are looking to do downtown seattle as tourist you cannot do much better in my opinion than the best western executive inn,128,if you are looking to do downtown seattle as tourist you cannot do much better in my opinion than the best western executive inn,looking downtown seattle tourist cannot much better opinion best western executive inn,12
6009,72586:43,I utilized Expedia and got a double queen for 65.00 a night.,0.0,utilized expedia and got double queen for night,47,utilized expedia and got double queen for night,utilized expedia got double queen night,6
6010,72586:43,In my opinion it was a great deal.,0.0,in my opinion it was great deal,31,in my opinion it was great deal,opinion great deal,3
6011,72586:43,I and my daughter cannot think of one negative experience.,0.0,and my daughter cannot think of one negative experience,55,and my daughter cannot think of one negative experience,daughter cannot think one negative experience,6
6012,72586:43,Secure parking was a nice plus.,0.0,secure parking was nice plus,28,secure parking was nice plus,secure parking nice plus,4
6013,72586:43,Front desk staff was exceptional.,0.0,front desk staff was exceptional,32,front desk staff was exceptional,front desk staff exceptional,4
6014,72586:43,Breakfast was great.,0.0,breakfast was great,19,breakfast was great,breakfast great,2
6015,72586:43,Rooms were clean and comfortable.,0.0,rooms were clean and comfortable,32,rooms were clean and comfortable,rooms clean comfortable,3
6016,72586:43,Bottom line.....Great value in Downtown Seattle and I would stay there again and again.,0.0,bottom line.....great value in downtown seattle and would stay there again and again,84,bottom linegreat value in downtown seattle and would stay there again and again,bottom linegreat value downtown seattle would stay,7
6017,81251:54,I made a reservation to stay here in August 2007 and just got charged for the night I canceled.,0.0,made reservation to stay here in august and just got charged for the night canceled,83,made reservation to stay here in august and just got charged for the night canceled,made reservation stay august got charged night canceled,8
6018,81251:54,So I would recommend that if you reserve a room here and cancel SAVE YOUR CANCELATION NUMBER,1.0,so would recommend that if you reserve room here and cancel save your cancelation number,88,so would recommend that if you reserve room here and cancel save your cancelation number,would recommend reserve room cancel save cancelation number,8
6019,119658:331,not as friendly as these posts elude,0.0,not as friendly as these posts elude,36,not as friendly as these posts elude,friendly posts elude,3
6020,119658:331,"Because of all the positive comments we had read here, we werent too worried about our stay.",0.0,because of all the positive comments we had read here we werent too worried about our stay,90,because of all the positive comments we had read here we werent too worried about our stay,positive comments read werent worried stay,6
6021,119658:331,"Unfortunately, we were not very pleased.",0.0,unfortunately we were not very pleased,38,unfortunately we were not very pleased,unfortunately pleased,2
6022,119658:331,The place seemed a little run down and the staff was not friendly at all.,0.0,the place seemed little run down and the staff was not friendly at all,70,the place seemed little run down and the staff was not friendly at all,place seemed little run staff friendly,6
6023,119658:331,The woman at the front desk didnt even greet us with a hello to us when we came into the front office...something you would expect if everyone proclaims they are friendly.,0.0,the woman at the front desk didnt even greet us with hello to us when we came into the front office...something you would expect if everyone proclaims they are friendly,168,the woman at the front desk didnt even greet us with hello to us when we came into the front officesomething you would expect if everyone proclaims they are friendly,woman front desk didnt even greet us hello us came front officesomething would expect everyone proclaims friendly,17
6024,119658:331,"In addition, when we met up with our friends and they helped us unload our luggage, the lady from the front desk ran out and confronted us about having extra people.",0.0,in addition when we met up with our friends and they helped us unload our luggage the lady from the front desk ran out and confronted us about having extra people,162,in addition when we met up with our friends and they helped us unload our luggage the lady from the front desk ran out and confronted us about having extra people,addition met friends helped us unload luggage lady front desk ran confronted us extra people,15
6025,119658:331,We explained that they were our friends FROM SF there to show us around...only helping us carry our luggage.,0.0,we explained that they were our friends from sf there to show us around...only helping us carry our luggage,107,we explained that they were our friends from sf there to show us aroundonly helping us carry our luggage,explained friends sf show us aroundonly helping us carry luggage,10
6026,119658:331,"When we checked out the next day she yelled from the front office window at us, while we are on the street.... that she was charging us for extra people....and they did",0.0,when we checked out the next day she yelled from the front office window at us while we are on the street that she was charging us for extra people....and they did,163,when we checked out the next day she yelled from the front office window at us while we are on the street that she was charging us for extra peopleand they did,checked next day yelled front office window us street charging us extra peopleand,13
6027,119658:331,"However, only 2 of us stayed at the hotel",0.0,however only of us stayed at the hotel,38,however only of us stayed at the hotel,however us stayed hotel,4
6028,119658:331,So much for friendly staff,0.0,so much for friendly staff,26,so much for friendly staff,much friendly staff,3
6029,119658:331,Weve stayed in San Francisco before and I would recommend the Commodore Hotel or another Experience Rewards hotel in the SF area.,1.0,weve stayed in san francisco before and would recommend the commodore hotel or another experience rewards hotel in the sf area,126,weve stayed in san francisco before and would recommend the commodore hotel or another experience rewards hotel in the sf area,weve stayed san francisco would recommend commodore hotel another experience rewards hotel sf area,14
6030,119658:331,"Those were similarly priced, friendlier, and a better quality room for the money.",0.0,those were similarly priced friendlier and better quality room for the money,76,those were similarly priced friendlier and better quality room for the money,similarly priced friendlier better quality room money,7
6031,119658:331,I would avoid this place and would not go hear again.,0.0,would avoid this place and would not go hear again,50,would avoid this place and would not go hear again,would avoid place would go hear,6
6032,114134:207,Great Hotel My girlfriend and,0.0,great hotel my girlfriend and,29,great hotel my girlfriend and,great hotel girlfriend,3
6033,114134:207,The location is perfect and close to everything Boston has to offer.,0.0,the location is perfect and close to everything boston has to offer,67,the location is perfect and close to everything boston has to offer,location perfect close everything boston offer,6
6034,114134:207,"We had booked a standard room, but upon arrival we were asked if we wanted an upgrade to a superior room, for a very small surcharge.",0.0,we had booked standard room but upon arrival we were asked if we wanted an upgrade to superior room for very small surcharge,124,we had booked standard room but upon arrival we were asked if we wanted an upgrade to superior room for very small surcharge,booked standard room upon arrival asked wanted upgrade superior room small surcharge,12
6035,114134:207,The room was just wonderful and was well furbished with a large bed and a working desk.,0.0,the room was just wonderful and was well furbished with large bed and working desk,82,the room was just wonderful and was well furbished with large bed and working desk,room wonderful well furbished large bed working desk,8
6036,114134:207,The bathroom was quite small but it was nice and clean.,0.0,the bathroom was quite small but it was nice and clean,54,the bathroom was quite small but it was nice and clean,bathroom quite small nice clean,5
6037,114134:207,However the best thing about the room was the wonderful view of the Boston skyline.,0.0,however the best thing about the room was the wonderful view of the boston skyline,82,however the best thing about the room was the wonderful view of the boston skyline,however best thing room wonderful view boston skyline,8
6038,114134:207,The hotel staff was very helpful and we felt very welcome at the hotel.,0.0,the hotel staff was very helpful and we felt very welcome at the hotel,70,the hotel staff was very helpful and we felt very welcome at the hotel,hotel staff helpful felt welcome hotel,6
6039,238565:2,I decided to stay in,0.0,decided to stay in,18,decided to stay in,decided stay,2
6040,238565:2,"After reading all these good reviews I stayed in first class room ,nothing first class about it; small room, no amenities - shampoo etc available, and after the third night ,they had not changed the sheets, I found a little blood in the sheets.",,after reading all these good reviews stayed in first class room nothing first class about it small room no amenities shampoo etc available and after the third night they had not changed the sheets found little blood in the sheets,229,after reading all these good reviews stayed in first class room nothing first class about it small room no amenities shampoo etc available and after the third night they had not changed the sheets found little blood in the sheets,reading good reviews stayed first class room nothing first class small room amenities shampoo etc available third night changed sheets found little blood sheets,24
6041,238565:2,My alarm bells did not ring then....The fouth morning the bed was covered with bedbuggs and they had eaten me all over.,0.0,my alarm bells did not ring then....the fouth morning the bed was covered with bedbuggs and they had eaten me all over,118,my alarm bells did not ring thenthe fouth morning the bed was covered with bedbuggs and they had eaten me all over,alarm bells ring thenthe fouth morning bed covered bedbuggs eaten,10
6042,238565:2,"I complained at the Reception and all they did was only noting it down, they did not apology and the matter did not seem to suprise them.",0.0,complained at the reception and all they did was only noting it down they did not apology and the matter did not seem to suprise them,133,complained at the reception and all they did was only noting it down they did not apology and the matter did not seem to suprise them,complained reception noting apology matter seem suprise,7
6043,238565:2,Luckily that was my last night at the A-Train.,0.0,luckily that was my last night at the a-train,45,luckily that was my last night at the atrain,luckily last night atrain,4
6044,238565:2,Besides this the room was on the very busy street side and there were roadworks going on during the night.,0.0,besides this the room was on the very busy street side and there were roadworks going on during the night,105,besides this the room was on the very busy street side and there were roadworks going on during the night,besides room busy street side roadworks going night,8
6045,238565:2,Luckily I managed to purchase earplugs later.,0.0,luckily managed to purchase earplugs later,42,luckily managed to purchase earplugs later,luckily managed purchase earplugs later,5
6046,238565:2,"On the positive side the breakfast and the breakfastroom were very nice and the personnel was nice ,untill I complaint about the bugs,.",0.0,on the positive side the breakfast and the breakfastroom were very nice and the personnel was nice untill complaint about the bugs,130,on the positive side the breakfast and the breakfastroom were very nice and the personnel was nice untill complaint about the bugs,positive side breakfast breakfastroom nice personnel nice untill complaint bugs,10
6047,279742:57,Stunning and refreshing,0.0,stunning and refreshing,23,stunning and refreshing,stunning refreshing,2
6048,279742:57,One of the best hotels Ive ever stayed in.,0.0,one of the best hotels ive ever stayed in,41,one of the best hotels ive ever stayed in,one best hotels ive ever stayed,6
6049,279742:57,"First of all, the stunning design bowled us over - we didnt want to leave the room.",0.0,first of all the stunning design bowled us over we didnt want to leave the room,79,first of all the stunning design bowled us over we didnt want to leave the room,first stunning design bowled us didnt want leave room,9
6050,279742:57,The staff was very friendly and did their best to please us.,0.0,the staff was very friendly and did their best to please us,59,the staff was very friendly and did their best to please us,staff friendly best please us,5
6051,279742:57,"The hotel is still new, so their bar wasnt open, but their sauna was great.",0.0,the hotel is still new so their bar wasnt open but their sauna was great,72,the hotel is still new so their bar wasnt open but their sauna was great,hotel still new bar wasnt open sauna great,8
6052,279742:57,Room service was on the pricey side - two coffees were 11 Euro.,0.0,room service was on the pricey side two coffees were euro,57,room service was on the pricey side two coffees were euro,room service pricey side two coffees euro,7
6053,279742:57,We didnt eat breakfast at the hotel.,0.0,we didnt eat breakfast at the hotel,35,we didnt eat breakfast at the hotel,didnt eat breakfast hotel,4
6054,279742:57,Note that the hotel offers great packages on its website - the best way to go.,1.0,note that the hotel offers great packages on its website the best way to go,75,note that the hotel offers great packages on its website the best way to go,note hotel offers great packages website best way go,9
6055,279742:57,"They offeryou a choice of pillows - a neck roll, a spelt pillow, a hot water bottle - they encourage you to ask for them and that really made the trip special.",0.0,they offeryou choice of pillows neck roll spelt pillow hot water bottle they encourage you to ask for them and that really made the trip special,144,they offeryou choice of pillows neck roll spelt pillow hot water bottle they encourage you to ask for them and that really made the trip special,offeryou choice pillows neck roll spelt pillow hot water bottle encourage ask really made trip special,16
6056,279742:57,"Also the location is excellent - right next to the SBahn, 10 minutes from the Reichstag on foot.",0.0,also the location is excellent right next to the sbahn minutes from the reichstag on foot,89,also the location is excellent right next to the sbahn minutes from the reichstag on foot,also location excellent right next sbahn minutes reichstag foot,9
6057,279742:57,"I cant wait to go back, my husband and I considered the hotel a high point of the trip.",0.0,cant wait to go back my husband and considered the hotel high point of the trip,79,cant wait to go back my husband and considered the hotel high point of the trip,cant wait go back husband considered hotel high point trip,10
6058,84502:153,Mary Jane Rocks at the Magic Castle,0.0,mary jane rocks at the magic castle,35,mary jane rocks at the magic castle,mary jane rocks magic castle,5
6059,84502:153,We enjoyed our stay last week at the Magic Castle.,0.0,we enjoyed our stay last week at the magic castle,49,we enjoyed our stay last week at the magic castle,enjoyed stay last week magic castle,6
6060,84502:153,We got a great rate that was advertised on Travelzoo.com,0.0,we got great rate that was advertised on travelzoo.com,54,we got great rate that was advertised on travelzoocom,got great rate advertised travelzoocom,5
6061,84502:153,The rooms are okay.,0.0,the rooms are okay,18,the rooms are okay,rooms okay,2
6062,84502:153,They are huge but need a bit of freshening up.,0.0,they are huge but need bit of freshening up,43,they are huge but need bit of freshening up,huge need bit freshening,4
6063,84502:153,Breakfast was sufficient for being free and the pool was nice.,0.0,breakfast was sufficient for being free and the pool was nice,61,breakfast was sufficient for being free and the pool was nice,breakfast sufficient free pool nice,5
6064,84502:153,Parking for $9 was the cheapest we saw on our trip.,0.0,parking for was the cheapest we saw on our trip,47,parking for was the cheapest we saw on our trip,parking cheapest saw trip,4
6065,84502:153,The best part about this hotel is the front desk attendant Mary Jane.,0.0,the best part about this hotel is the front desk attendant mary jane,68,the best part about this hotel is the front desk attendant mary jane,best part hotel front desk attendant mary jane,8
6066,84502:153,"She provided us insight on where to go and what to do, helped us book reservations at the hottest restaurants and used her connections to get us it.",0.0,she provided us insight on where to go and what to do helped us book reservations at the hottest restaurants and used her connections to get us it,146,she provided us insight on where to go and what to do helped us book reservations at the hottest restaurants and used her connections to get us it,provided us insight go helped us book reservations hottest restaurants used connections get us,14
6067,84502:153,It became a joke that every day we had to go to Mary Jane to figure out what we were going to do and where we were going to eat,0.0,it became joke that every day we had to go to mary jane to figure out what we were going to do and where we were going to eat,125,it became joke that every day we had to go to mary jane to figure out what we were going to do and where we were going to eat,became joke every day go mary jane figure going going eat,11
6068,86978:460,Overall Good Value for the Money,0.0,overall good value for the money,32,overall good value for the money,overall good value money,4
6069,86978:460,"We enjoyed our stay, but we always make the best of a situation.",0.0,we enjoyed our stay but we always make the best of situation,60,we enjoyed our stay but we always make the best of situation,enjoyed stay always make best situation,6
6070,86978:460,Nice view of Diamond Head and the movie screen on the beach.,0.0,nice view of diamond head and the movie screen on the beach,59,nice view of diamond head and the movie screen on the beach,nice view diamond head movie screen beach,7
6071,86978:460,"Updated ,meaning decor, not renovated really,Nice decor, fun, floralSmall refrigerator in the roomOne Valet and One Front Desk clerk were super",0.0,"updated meaning decor not renovated really,nice decor fun floralsmall refrigerator in the roomone valet and one front desk clerk were super",139,updated meaning decor not renovated reallynice decor fun floralsmall refrigerator in the roomone valet and one front desk clerk were super,updated meaning decor renovated reallynice decor fun floralsmall refrigerator roomone valet one front desk clerk super,16
6072,86978:460,"Nice seating options at the pool, nice lounging areas, relaxing.",0.0,nice seating options at the pool nice lounging areas relaxing,61,nice seating options at the pool nice lounging areas relaxing,nice seating options pool nice lounging areas relaxing,8
6073,86978:460,"Two full size beds in a tiny closet of a room ,1107, with four people, three over 58 tall.",0.0,two full size beds in tiny closet of room with four people three over tall,74,two full size beds in tiny closet of room with four people three over tall,two full size beds tiny closet room four people three tall,11
6074,86978:460,"It was too small, the bathroom is tiny, can hardly turn around in it",0.0,it was too small the bathroom is tiny can hardly turn around in it,66,it was too small the bathroom is tiny can hardly turn around in it,small bathroom tiny hardly turn around,6
6075,86978:460,"Watch the bartender at Tikis, they let some blond guy from Iowa charge his drinks to my tab without asking me about it.",0.0,watch the bartender at tikis they let some blond guy from iowa charge his drinks to my tab without asking me about it,117,watch the bartender at tikis they let some blond guy from iowa charge his drinks to my tab without asking me about it,watch bartender tikis let blond guy iowa charge drinks tab without asking,12
6076,86978:460,"Considering I had just arrived ,with my three kids, it wasnt likely I was buying drinks for some stanger in a bar.",0.0,considering had just arrived with my three kids it wasnt likely was buying drinks for some stanger in bar,105,considering had just arrived with my three kids it wasnt likely was buying drinks for some stanger in bar,considering arrived three kids wasnt likely buying drinks stanger bar,10
6077,86978:460,"We called for our luggage ,take yours up yourself, and they said five to ten minutes.",0.0,we called for our luggage take yours up yourself and they said five to ten minutes,82,we called for our luggage take yours up yourself and they said five to ten minutes,called luggage take said five ten minutes,7
6078,86978:460,"We waited thirty and it still had not arrived, so after two calls down ,and snotty clerks, we just left.",0.0,we waited thirty and it still had not arrived so after two calls down and snotty clerks we just left,100,we waited thirty and it still had not arrived so after two calls down and snotty clerks we just left,waited thirty still arrived two calls snotty clerks left,9
6079,86978:460,The luggage came sometime later while we were at dinner.,0.0,the luggage came sometime later while we were at dinner,55,the luggage came sometime later while we were at dinner,luggage came sometime later dinner,5
6080,86978:460,The pool was small and most always very crowded.,0.0,the pool was small and most always very crowded,47,the pool was small and most always very crowded,pool small always crowded,4
6081,86978:460,My ten year old wouldnt go in due to it being too full.,0.0,my ten year old wouldnt go in due to it being too full,54,my ten year old wouldnt go in due to it being too full,ten year old wouldnt go due full,7
6082,86978:460,"We are the type to always make the best of a situation, so we did.",0.0,we are the type to always make the best of situation so we did,62,we are the type to always make the best of situation so we did,type always make best situation,5
6083,86978:460,"We had an enjoyable stay, it wasnt terrible, but I wouldnt be inclined to stay at that hotel again.",0.0,we had an enjoyable stay it wasnt terrible but wouldnt be inclined to stay at that hotel again,94,we had an enjoyable stay it wasnt terrible but wouldnt be inclined to stay at that hotel again,enjoyable stay wasnt terrible wouldnt inclined stay hotel,8
6084,86978:460,"However, I was told that many of the hotel rooms are very small, I dont know if this is true.",0.0,however was told that many of the hotel rooms are very small dont know if this is true,86,however was told that many of the hotel rooms are very small dont know if this is true,however told many hotel rooms small dont know true,9
6085,86978:460,"Thanks to Del ,valet area, and Kieth ,front desk, we were taken care of.",0.0,thanks to del valet area and kieth front desk we were taken care of,67,thanks to del valet area and kieth front desk we were taken care of,thanks del valet area kieth front desk taken care,9
6086,86978:460,The rest of the staff were aloof and didnt really have any concept of customer service.,0.0,the rest of the staff were aloof and didnt really have any concept of customer service,86,the rest of the staff were aloof and didnt really have any concept of customer service,rest staff aloof didnt really concept customer service,8
6087,86978:460,"Final note, FOR THE MONEY ,$159/nt, and the fact that its right across the road from the main beach, its a decent value for a nice location.",0.0,final note for the money and the fact that its right across the road from the main beach its decent value for nice location,123,final note for the money and the fact that its right across the road from the main beach its decent value for nice location,final note money fact right across road main beach decent value nice location,13
6088,86978:460,We found most beach front locations to be much more costly.,0.0,we found most beach front locations to be much more costly,58,we found most beach front locations to be much more costly,found beach front locations much costly,6
6089,86978:460,"It is a cute place, they have done some fun things with the decor.",0.0,it is cute place they have done some fun things with the decor,62,it is cute place they have done some fun things with the decor,cute place done fun things decor,6
6090,86978:460,"There is easy access to food downstairs, Starbucks on the corner, ABC Markets everywhere.",0.0,there is easy access to food downstairs starbucks on the corner abc markets everywhere,86,there is easy access to food downstairs starbucks on the corner abc markets everywhere,easy access food downstairs starbucks corner abc markets everywhere,9
6091,86978:460,"Also, if you need services find a good front desk clerk, they helped us find a rental car when we were told none were available at all locations we called.",1.0,also if you need services find good front desk clerk they helped us find rental car when we were told none were available at all locations we called,148,also if you need services find good front desk clerk they helped us find rental car when we were told none were available at all locations we called,also need services find good front desk clerk helped us find rental car told none available locations called,18
6092,607162:50,A Bit of a Disappointment,0.0,bit of disappointment,21,bit of disappointment,bit disappointment,2
6093,607162:50,My teenage daughter and I stayed at this hotel for four nights in early July.,0.0,my teenage daughter and stayed at this hotel for four nights in early july,74,my teenage daughter and stayed at this hotel for four nights in early july,teenage daughter stayed hotel four nights early july,8
6094,607162:50,"Our room was dark due to subdued lighting and a small window, but to be fair I did ask for a quiet room.",0.0,our room was dark due to subdued lighting and small window but to be fair did ask for quiet room,96,our room was dark due to subdued lighting and small window but to be fair did ask for quiet room,room dark due subdued lighting small window fair ask quiet room,11
6095,607162:50,It was fairly quiet.,0.0,it was fairly quiet,19,it was fairly quiet,fairly quiet,2
6096,607162:50,"If I had known what we would get, I would have asked for a room with a large window.",0.0,if had known what we would get would have asked for room with large window,74,if had known what we would get would have asked for room with large window,known would get would asked room large window,8
6097,607162:50,The room had a very swampy odour when the air conditioning was turned off.,0.0,the room had very swampy odour when the air conditioning was turned off,71,the room had very swampy odour when the air conditioning was turned off,room swampy odour air conditioning turned,6
6098,607162:50,"We tried to leave our extra card in the outlet slot so the air conditioning would stay on, but it was taken out by the maid and eventually she took it for good.",0.0,we tried to leave our extra card in the outlet slot so the air conditioning would stay on but it was taken out by the maid and eventually she took it for good,158,we tried to leave our extra card in the outlet slot so the air conditioning would stay on but it was taken out by the maid and eventually she took it for good,tried leave extra card outlet slot air conditioning would stay taken maid eventually took good,15
6099,607162:50,I had some febreeze so it was bearable.,0.0,had some febreeze so it was bearable,36,had some febreeze so it was bearable,febreeze bearable,2
6100,607162:50,"The decor was nice, different and a bit funky.",0.0,the decor was nice different and bit funky,42,the decor was nice different and bit funky,decor nice different bit funky,5
6101,607162:50,"I was happy to get it, but a working minibar would have been preferable.",1.0,was happy to get it but working minibar would have been preferable,66,was happy to get it but working minibar would have been preferable,happy get working minibar would preferable,6
6102,607162:50,The staff were very helpful and always polite.,0.0,the staff were very helpful and always polite,45,the staff were very helpful and always polite,staff helpful always polite,4
6103,607162:50,The restaurant they recommended was good.,0.0,the restaurant they recommended was good,40,the restaurant they recommended was good,restaurant recommended good,3
6104,607162:50,I think it was called Ginger.,0.0,think it was called ginger,26,think it was called ginger,think called ginger,3
6105,607162:50,"The area was really nice, away from the crazy busy areas.",0.0,the area was really nice away from the crazy busy areas,55,the area was really nice away from the crazy busy areas,area really nice away crazy busy areas,7
6106,607162:50,"Overall it was an o.k. experience, but I would probably try somewhere else the next time.",0.0,overall it was an o.k experience but would probably try somewhere else the next time,84,overall it was an ok experience but would probably try somewhere else the next time,overall ok experience would probably try somewhere else next time,10
6107,237566:13,Had a great time.,0.0,had great time,14,had great time,great time,2
6108,237566:13,Hotel was in a great location.,0.0,hotel was in great location,27,hotel was in great location,hotel great location,3
6109,237566:13,Close to the Leidsplien and other main streets.,0.0,close to the leidsplien and other main streets,46,close to the leidsplien and other main streets,close leidsplien main streets,4
6110,237566:13,"Rooms were fine - ,some nicer than others,, but all were cleaned every day.",0.0,rooms were fine some nicer than others but all were cleaned every day,69,rooms were fine some nicer than others but all were cleaned every day,rooms fine nicer others cleaned every day,7
6111,237566:13,Staff were always pleasant and helpful.,0.0,staff were always pleasant and helpful,38,staff were always pleasant and helpful,staff always pleasant helpful,4
6112,237566:13,Bar prices very good.,0.0,bar prices very good,20,bar prices very good,bar prices good,3
6113,237566:13,Little terrace was lovely for sitting and relaxing.,0.0,little terrace was lovely for sitting and relaxing,50,little terrace was lovely for sitting and relaxing,little terrace lovely sitting relaxing,5
